Name,Lower quartile,Median,Upper quartile
Cec 022,1073.24016969372,1077.73148779273,1082.88735178428
GV,1082.83996761012,1086.83730399478,1091.63085438912
Laf,1090.86159001851,1094.58836595791,1098.12700446603
MILs,1073.95950331869,1079.9502209085,1086.6692456118
Nakhla,1088.96386179293,1093.70752401486,1098.33219791519
N10645,1071.41952199291,1076.32655782504,1082.18950679129
N10720,1103.60692026909,1109.78745139511,1115.95188103108
N11013,1081.96439548398,1087.293605678,1092.19573223356
N13669,1082.2868669935,1086.62060214598,1091.45325761723
N5790,1054.50913317907,1062.85257332068,1070.02353973211
N817,1077.94002219836,1081.88602260356,1085.96311841521
N998,1088.05252296866,1093.20539216127,1098.95758701899
Ys,1081.90495601094,1088.25596179033,1094.79358635618
QM005,1091.37191857381,1098.0450234648,1104.98473955548
