Name,Lower quartile,Median,Upper quartile
Cec 022,1067.03104794653,1069.80877078011,1072.1397781079
GV,1059.24296303696,1064.1786247455,1068.01033254996
Laf,1053.89540162564,1058.35305056047,1063.09211678509
MILs,960.284410400129,974.942712921318,986.512649482214
Nakhla,1062.01330766384,1065.37949612636,1068.41741347472
N10645,986.538686843086,993.974431171484,1008.7000939015
N10720,1007.93172773638,1021.55136637956,1032.72817000287
N11013,1029.2379684373,1056.05830601476,1064.99154377558
N13669,1036.10232939732,1046.29059413784,1052.68700760968
N5790,1010.09944423062,1037.24786587096,1057.15838491127
N817,995.679025674916,1012.16719422558,1033.97196366556
N998,1065.57432640348,1068.21322368982,1070.71969352195
Ys,1024.74227347163,1046.25768466067,1061.41435304247
QM005,1049.88098645546,1060.51779867951,1066.65144197518
